2.525492	2.525492	zero_1
4.185102	4.185102	jeden_1
5.267455	5.267455	dwa_1
6.133339	6.133339	trzy_1
7.360006	7.360006	cztery_1
8.514517	8.514517	piec_1
9.741185	9.741185	szczesc_1
10.895696	10.895696	siedem_1
12.266677	12.266677	osiem_1
13.637659	13.637659	dziewiec_1
14.647856	14.647856	dziesiec_1
16.523936	16.523936	zero_2
18.039231	18.039231	jeden_2
19.265899	19.265899	dwa_2
20.564723	20.564723	trzy_2
21.719234	21.719234	cztery_2
22.585117	22.585117	piec_2
23.595314	23.595314	szczesc_2
24.749825	24.749825	siedem_2
25.976493	25.976493	osiem_2
26.986690	26.986690	dziewiec_2
28.069044	28.069044	dziesiec_2
30.161594	30.161594	gum_1
31.099634	31.099634	bub_1
32.109831	32.109831	zid_1
33.408656	33.408656	gyr_1
34.491010	34.491010	dum_1
36.006305	36.006305	gum_2
37.016502	37.016502	bub_2
38.026699	38.026699	zid_2
38.892582	38.892582	gyr_2
39.758465	39.758465	dum_2
41.201604	41.201604	aba_1
42.356115	42.356115	ugo_1
43.654939	43.654939	ugi_1
44.592979	44.592979	abe_1
45.531019	45.531019	oga_1
46.974158	46.974158	aba_2
47.767884	47.767884	ugo_2
48.633767	48.633767	ugi_2
49.499650	49.499650	abe_2
50.437690	50.437690	oga_2
65.302017	65.302017	kurowa_1
66.961626	66.961626	nepmo_1
67.971823	67.971823	babola_1
68.693392	68.693392	alobiri_1
69.920060	69.920060	koreban_1
71.074571	71.074571	kurowa_2
72.012611	72.012611	nepmo_2
73.022807	73.022807	babola_2
73.744377	73.744377	alobiri_2
74.393789	74.393789	koreban_2
81.753795	81.753795	kwiat_1
82.475365	82.475365	pies_1
83.341248	83.341248	kot_1
84.495758	84.495758	samochod_1
85.145171	85.145171	jajko_1
86.588309	86.588309	benzyna_1
87.814977	87.814977	chrzaszcz_1
89.185959	89.185959	odrzutowiec_1
90.412626	90.412626	dzwiek_1
91.567137	91.567137	przetwarzanie_1
92.865962	92.865962	benzyna_2
93.804002	93.804002	chrzascz_2
95.030669	95.030669	odrzutowiec_2
95.824396	95.824396	dzwiek_2
96.762436	96.762436	przetwarzanie_2
101.741263	101.741263	ala_ma_rudego_kota_1
104.844011	104.844011	dlaczego_ta_zima_1
107.225190	107.225190	ala_ma_rudego_kota_2
111.554605	111.554605	dlaczego_ta_zima_2
